trackId,name,album,artist,releaseDate,length,popularity,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,timeSignature
3KaTpFDt5HJPOlUcvISO7n,I'm Just Ken,I'm Just Ken,samu2rai,2023-12-01,151426,40,0.692,0.97,0.187,0.934,0.0945,-18.071,0.0324,131.996,4
3Pxc3QBFnlb1kd3llYaRwD,summertime sadness,summertime sadness,mr mirakami,2023-01-29,170713,42,0.678,0.913,0.261,0.91,0.109,-16.664,0.0391,112.047,4
25AjoIOjVfxe6kgE9ftvep,chandelier,chandelier,niff_,2023-01-06,213000,40,0.506,0.827,0.221,0.897,0.108,-14.12,0.272,76.336,4
04P0VWJ6oo8Hh7pmyrQIuW,so sick,so sick,flowtide,2023-01-06,121978,41,0.713,0.949,0.451,0.942,0.106,-12.141,0.0933,90.886,4
23kBxBCU9ey05l98Okzm1O,wefoundlove,wefoundlove,Laflov,2023-11-26,121125,39,0.633,0.566,0.143,0.882,0.118,-22.18,0.0456,114.091,4
3nEKznjXAihwGO0KDodJYi,fly away,fly away,helistofax,2023-01-06,111538,42,0.617,0.91,0.26,0.916,0.113,-13.675,0.281,156.07,4
6tUsyUdQkxT7diLVsIp33U,Hold On We're Going Home,Hold On We're Going Home,mutedvibes,2023-11-12,181158,39,0.615,0.839,0.378,0.919,0.107,-15.291,0.048,170.025,4
1aYcdEUigk7EO41RgbkYZh,young folks,young folks,Mrs Blonded,2023-01-06,122988,41,0.599,0.985,0.179,0.931,0.113,-16.101,0.0677,69.046,4
49O7D9q23Z6o067OM9vHaE,you're makin' me high,you're makin' me high,NSW Kenny,2023-01-29,139000,42,0.611,0.961,0.245,0.916,0.111,-19.21,0.0361,91.976,4
6t1ndytBBuHParrtf27iT5,all the small things,all the small things,last analogy,2023-01-06,97834,44,0.549,0.896,0.329,0.829,0.106,-15.272,0.0395,78.396,4
6Zv0ZBfBNB91SNHafArGAO,257,257,toby chick,2024-02-09,217142,41,0.697,0.506,0.485,0.806,0.0422,-8.269,0.0603,84.098,4
0Y6RcHx3zWT0B7Zeak5Dss,bay bridge,bay bridge,Mr. Hong,2024-01-08,204000,49,0.672,0.348,0.533,0.853,0.273,-9.016,0.0661,159.936,4
6r0Jqgnd5i92R2cuE0Z1q6,Gymnopédies,Gymnopédies,L.Dre,2023-02-10,162000,56,0.663,0.925,0.12,0.88,0.115,-13.662,0.0344,80.041,4
7BY0OSSSouCfOUtxUy0T8N,Al Otro Lado,Orilla,Pachakuti,2023-09-29,167462,51,0.567,0.0243,0.614,0.932,0.133,-6.172,0.0318,87.981,4
1gCMAZDeodBRnKi0vw7pgV,Windjammer,Windjammer,The BREED,2023-12-15,147692,51,0.653,0.127,0.592,0.82,0.149,-10.4,0.123,155.945,4
3pfmlg7TUaA2TQshjjEKlo,Something Pure,Something Pure,Louk,2021-11-26,171000,52,0.622,0.751,0.312,0.317,0.16,-11.244,0.0312,80.02,4
5q3OHXJX1lX5wNJmrm93GD,Farlands,Farlands,Dpsht,2024-02-09,93681,39,0.759,0.352,0.365,0.789,0.0996,-11.869,0.0981,82.083,4
39koMKbq0FLzUpGtyjA8FE,Chè Ja Vu,Chè Ja Vu,Cassette Heads,2024-02-09,236656,35,0.746,0.48,0.441,0.806,0.22,-9.8,0.0469,101.004,4
0m6bPc8Csmtox6hHepZD0v,One Day,One Day,Mindscape,2024-02-09,115764,39,0.451,0.396,0.289,0.63,0.109,-12.4,0.137,171.361,4
0WZVKvzrIHoQhmY2Nhl7GQ,Marbles,Marbles,Phlocalyst,2023-06-02,150329,52,0.776,0.587,0.468,0.872,0.111,-14.54,0.0759,90.992,4
0dHpOqqAHj1UsMWlIv3Qjk,Tropicana,Tropicana,RejSende,2023-04-27,192354,55,0.774,0.602,0.876,0.9,0.114,-5.808,0.0536,90.041,4
0Cw1nI3L84StxVXuZylvWW,Drop Out,Drop Out,.multibeat,2023-09-20,153103,50,0.708,0.637,0.501,0.441,0.227,-9.001,0.0938,91.945,4
3w9mpFDp9vFUSCzQzmUnrm,Look,Look,Donkeychote,2024-02-09,134000,36,0.751,0.5,0.654,0.000139,0.123,-11.695,0.121,90.861,4
6M8XMEz0CPMzbp4SvRB6Iz,Don`t Say,Don`t Say,Kasimir,2023-12-08,116000,50,0.77,0.734,0.365,0.598,0.103,-9.054,0.0705,150.054,3
3HbAR7ZxhLZjlBN84UaitM,Amnesia,Amnesia,yosev,2023-08-09,115875,50,0.612,0.29,0.567,0.891,0.216,-8.701,0.0569,83.68,4
2S2QPP4n6jolD2hGFSYsLR,Night Rhythms,Night Rhythms,Zmeyev,2023-12-01,156000,52,0.765,0.463,0.313,0.933,0.112,-10.054,0.28,79.989,4
3Oa7qTyiDrpDXCa6oF3vIL,Notice Me - Instrumental,Notice Me (Instrumental),High John,2022-02-11,109629,51,0.58,0.349,0.303,0.799,0.109,-20.007,0.0454,81.034,4
6kWn7r94SfctU3TdqV4xeE,Imber,Imber,"Oh, My.",2023-04-17,142346,51,0.603,0.327,0.523,0.736,0.096,-8.012,0.0456,78.034,4
5E1CQ01DlxXN93qgSUT6La,Dazed,Dazed,Moderator,2024-02-09,153333,46,0.649,0.328,0.538,0.366,0.145,-6.248,0.0448,90.059,4
0H4ItesdG3rjQvzplgixh4,Blush Noisette,Blush Noisette,Soulmade,2024-02-09,151203,36,0.688,0.292,0.681,0.516,0.0735,-7.784,0.116,179.929,4
4DzNmXOfoIJT1EsnAzbELE,Sleeping With The Fishes,Sleeping With The Fishes,Glimlip,2023-09-15,126399,50,0.614,0.136,0.347,0.911,0.0678,-10.712,0.0463,163.997,4
7siGfTfkeFwb1aFOW5CqFW,Sunny Afternoon,Sunny Afternoon,Oilix,2024-01-05,138352,50,0.596,0.854,0.405,0.938,0.162,-10.803,0.0324,170.092,4
4sm8xtjc74ChRJhmlPH3x3,Ballin',Ballin',Worldtraveller,2024-01-12,104470,49,0.711,0.0645,0.44,0.634,0.134,-13.639,0.0739,84.998,4
21K1rLF9exSvUwu0XiC6d8,Shadowbrook,Shadowbrook,Karmawin,2023-09-25,160892,49,0.524,0.291,0.663,0.081,0.0957,-5.061,0.113,135.25,3
6LWGINtQbDX9tdfQDIAmNJ,WorkinOnIt,WorkinOnIt,Zmeyev,2022-11-11,170539,52,0.485,0.732,0.386,0.907,0.145,-8.238,0.106,80.381,4
1TOHw1SZwZWX08ktFUei9T,Autumn Ride,Autumn Ride,Kid Tarô,2022-10-14,130563,53,0.738,0.0328,0.595,0.624,0.105,-7.685,0.0634,165.081,4
5jbOCsyeMKNxw2Xk3RSylS,When the Rain Comes,When the Rain Comes,Dualizm,2021-11-24,115662,55,0.638,0.854,0.209,0.828,0.098,-18.248,0.0725,83.015,4
5ZYgCqDnubS8OT10bDou1T,Perfections,Perfections,Koralle,2023-11-24,176000,55,0.616,0.0461,0.295,0.857,0.0639,-10.529,0.0911,179.911,4
7dLCC0addn2kO1ALxsjQhS,Missed It,Missed It,JAY VANILLA,2022-06-02,103121,52,0.575,0.616,0.459,0.848,0.196,-9.177,0.0541,169.746,4
16lpRQwZqORZxEqkSCi9SF,Aperitif,Aperitif,Jazzy James,2024-01-12,137333,49,0.764,0.621,0.492,0.849,0.345,-11.604,0.0916,90.013,4
1IJOtn16CnU7N0N1nW60eX,Skipping Stones,Skipping Stones,Dpsht,2023-12-15,86346,48,0.594,0.89,0.263,0.896,0.111,-15.01,0.34,78.977,4
1YQq5Xca759DEVtkANGdXI,Smile,Smile,Richie Rych,2023-11-24,158048,48,0.674,0.105,0.472,0.82,0.0964,-10.35,0.0501,81.999,4
7gWksPQCd3aSdB7phjMTXy,Zeal,Zeal,Phlocalyst,2022-11-04,141573,53,0.808,0.881,0.423,0.895,0.0986,-12.593,0.167,88.967,4
3xkKCWEDtKjJYQohYW4o9i,airworks,airworks,Screen Jazzmaster,2023-12-19,115662,48,0.712,0.532,0.294,0.908,0.0945,-8.634,0.091,83.069,4
3ydQENKjLp5fd3yshzLfJY,Fadrr,Fadrr,Goson,2023-04-14,140708,55,0.743,0.8,0.403,0.909,0.146,-11.177,0.0916,89.989,4
1ruJmvGgVhSXh7mvd4gNMM,Sonic Perfume,Sonic Perfume,ØDYSSEE,2023-11-24,161743,48,0.403,0.324,0.555,0.461,0.113,-10.804,0.056,81.017,4
2WOugRtzn1QKmCarSqavnM,Da Wes Sht,Da Wes Sht,Gesmis,2021-09-10,139375,49,0.684,0.00604,0.36,0.689,0.385,-13.678,0.131,79.118,4
42UxztZhDlE6Pl3OP5r3iy,That Summer Feeling,That Summer Feeling,Oilix,2023-08-25,127058,53,0.83,0.512,0.25,0.922,0.195,-12.849,0.0575,85.022,4
5JMpTtLvOURWPEQiWngaPF,Go Time,Go Time,DYVN,2023-05-05,146374,48,0.648,0.268,0.487,0.719,0.076,-9.554,0.0432,81.99,4
78rfjCuRo6lkW8pAAjehrh,When and Where,When and Where,Sem0r,2023-09-15,128750,51,0.745,0.239,0.565,0.87,0.113,-10.017,0.0465,96.043,4
4uahGrfDRqEzghdU5vq6AS,Alright,Alright,The BREED,2024-01-26,160235,50,0.649,0.00648,0.831,0.841,0.105,-6.523,0.0411,170.013,4
19AiqwcVZDgbivDpLwZtG3,spirits,spirits,n o r m a l,2021-07-30,137522,53,0.537,0.568,0.495,0.644,0.115,-9.36,0.0459,168.063,4
2IjWXYU02ksAjqU4A1sx6G,Bridging Divides,Bridging Divides,RINZ.,2021-12-17,129229,52,0.762,0.639,0.423,0.888,0.0869,-8.821,0.0425,90.899,4
48IOGXZiQIyM64Co7UpjUh,On The Rocks,On The Rocks,Guzimi,2022-12-15,99740,52,0.761,0.686,0.582,0.9,0.11,-8.302,0.044,76.973,4
7dyDhm02OBav60kMmEVHET,They Say,They Say,Emapea,2024-01-26,206982,53,0.722,0.458,0.632,0.359,0.121,-6.261,0.0467,87.021,4
0RgCZ9RKtQGQpvfASJ01B6,Midnight Drive,Midnight Drive,Donkeychote,2023-10-20,111610,47,0.679,0.128,0.499,0.313,0.295,-12.819,0.0713,77.984,4
6LIO0pUabklDK3jFZNCgRV,sundaythefirstofaugust,sundaythefirstofaugust,Webmoms,2022-04-27,157946,51,0.753,0.949,0.22,0.934,0.115,-14.209,0.0583,139.048,4
105Tz2u0VR9zs49rmnszGF,Breathing,A New Day in Time,Phlocalyst,2023-08-25,126315,52,0.587,0.818,0.213,0.896,0.11,-15.296,0.0308,76.026,4
